ExperimentId,inputIndex,PTSD,PTSDImageArousalSubscale,CognitiveControlOverEmotion,Stress,Depression,ExecutiveScore,Neuroticism,BaseImageDominance,BaseImageArousal,BaseImageValence,NightmareDistress,NightmareEffects,NightmareFrequency,DASSAnxiety,FearExtinctionFailureThreshold,BaseFearExtinctionAttemptThreshold,LogNightmareFrequency,ptsdOffset,ptsdIASOffset,ccoeOffset,stressOffset,depressionOffset,executivescoreOffset,neuroticismOffset,dominanceOffset,arousalOffset,valenceOffset,scalingOffset,stopHour
41,40,0.2772,0.08729411764705883,0.6996296296296297,0.5493333333333333,0.24905882352941175,0.1935,0.44499999999999995,0.535,0.305,-1.393,0.22,0.08602637724753337,0.123,0.10408169856411355,0.25,0.5,-Infinity,0.464,0.348,0.187,0.374,0.474,0.188,0.449,0.453,0.231,0.221,0.25,341.0
32,31,0.24639999999999998,0.10911764705882353,0.5888148148148149,0.6619999999999999,0.2196470588235294,0.2405,0.9075,0.47555555555555556,0.2745,-1.375839,0.22,0.09199941293006744,0.123,0.14014835259781006,0.25,0.5,-Infinity,0.464,0.348,0.187,0.374,0.474,0.188,0.449,0.453,0.231,0.221,0.25,341.0
29,28,0.0924,0.021823529411764707,0.6511481481481483,0.493,0.2196470588235294,0.2796666666666667,0.6299999999999999,0.535,0.305,-1.393,0.22,0.08479298495770252,0.123,0.11482283239264704,0.25,0.5,-Infinity,0.464,0.348,0.187,0.374,0.474,0.188,0.449,0.453,0.231,0.221,0.25,341.0
94,93,0.030799999999999998,0.0,0.8312222222222223,0.493,0.10199999999999998,0.25616666666666665,0.25999999999999995,0.0,0.0305,-1.324356,0.22,0.07829650007382938,0.123,0.06634989816918402,0.25,0.5,-Infinity,0.464,0.348,0.187,0.374,0.474,0.188,0.449,0.453,0.231,0.221,0.25,341.0
3,2,0.015399999999999999,0.0,0.6857777777777778,0.5211666666666667,0.13141176470588234,0.2875,0.3524999999999999,0.3566666666666667,0.244,-1.393,0.22,0.07940697644534982,0.123,0.08129421259360549,0.25,0.5,-Infinity,0.464,0.348,0.187,0.374,0.474,0.188,0.449,0.453,0.231,0.221,0.25,341.0
82,81,0.061599999999999995,0.021823529411764707,0.6580740740740741,0.493,0.19023529411764706,0.2875,0.25999999999999995,0.535,0.305,-1.393,0.22,0.080360593145078,0.123,0.08261876148031044,0.25,0.5,-Infinity,0.464,0.348,0.187,0.374,0.474,0.188,0.449,0.453,0.231,0.221,0.25,341.0
4,3,0.3234,0.10911764705882353,0.6026666666666667,0.6619999999999999,0.3372941176470588,0.2718333333333333,0.9075,0.535,0.305,-1.393,0.22,0.09850127579898639,0.123,0.1600363007179228,0.25,0.5,-Infinity,0.464,0.348,0.187,0.374,0.474,0.188,0.449,0.453,0.231,0.221,0.25,341.0
101,100,0.0,0.0,0.775814814814815,0.493,0.10199999999999998,0.217,0.3524999999999999,0.0,0.0305,-1.324356,0.22,0.07811923659601462,0.123,0.06791447929581597,0.25,0.5,-Infinity,0.464,0.348,0.187,0.374,0.474,0.188,0.449,0.453,0.231,0.221,0.25,341.0
68,67,0.21559999999999996,0.06547058823529413,0.7342592592592594,0.6338333333333334,0.27847058823529414,0.29533333333333334,0.44499999999999995,0.41611111111111115,0.2745,-1.341517,0.22,0.08449376159364275,0.123,0.10024034756474082,0.25,0.5,-Infinity,0.464,0.348,0.187,0.374,0.474,0.188,0.449,0.453,0.231,0.221,0.25,341.0
7,6,0.7545999999999999,0.3055294117647059,0.5472592592592593,0.8028333333333333,0.45494117647058824,0.499,0.9075,0.535,0.305,-1.393,0.22,0.22023074435709228,0.12932258064516128,0.18436367248376223,0.25,0.5,1.0697396898147833,0.464,0.348,0.187,0.374,0.474,0.188,0.449,0.453,0.231,0.221,0.25,341.0
